,day_sin,day_cos,month_sin,month_cos,dow_sin,dow_cos,is_weekend,hour_sin,hour_cos,load,temp
2025-11-02 05:00:00+01:00,0.39435585511331855,0.9189578116202306,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1,0.8660254037844386,0.5000000000000001,35608.75,12.59
2025-11-02 06:00:00+01:00,0.39435585511331855,0.9189578116202306,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1,0.9659258262890683,0.25881904510252074,36977.0,12.5
2025-11-02 07:00:00+01:00,0.39435585511331855,0.9189578116202306,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1,1.0,6.123233995736766e-17,38021.0,12.46
2025-11-02 08:00:00+01:00,0.39435585511331855,0.9189578116202306,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1,0.9659258262890683,-0.25881904510252063,39676.25,12.28
2025-11-02 09:00:00+01:00,0.39435585511331855,0.9189578116202306,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1,0.8660254037844387,-0.49999999999999983,41826.25,12.65
2025-11-02 10:00:00+01:00,0.39435585511331855,0.9189578116202306,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1,0.7071067811865476,-0.7071067811865475,43702.0,13.57
2025-11-02 11:00:00+01:00,0.39435585511331855,0.9189578116202306,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1,0.49999999999999994,-0.8660254037844387,45652.0,14.01
2025-11-02 12:00:00+01:00,0.39435585511331855,0.9189578116202306,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1,0.258819045102521,-0.9659258262890682,47531.25,14.26
2025-11-02 13:00:00+01:00,0.39435585511331855,0.9189578116202306,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1,1.2246467991473532e-16,-1.0,45484.25,14.63
2025-11-02 14:00:00+01:00,0.39435585511331855,0.9189578116202306,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1,-0.2588190451025208,-0.9659258262890683,43438.75,14.85
2025-11-02 15:00:00+01:00,0.39435585511331855,0.9189578116202306,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1,-0.4999999999999998,-0.8660254037844388,42864.25,14.92
2025-11-02 16:00:00+01:00,0.39435585511331855,0.9189578116202306,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1,-0.7071067811865471,-0.7071067811865479,42550.5,14.55
2025-11-02 17:00:00+01:00,0.39435585511331855,0.9189578116202306,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1,-0.8660254037844384,-0.5000000000000004,44741.75,13.79
2025-11-02 18:00:00+01:00,0.39435585511331855,0.9189578116202306,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1,-0.9659258262890683,-0.25881904510252063,49244.5,12.81
2025-11-02 19:00:00+01:00,0.39435585511331855,0.9189578116202306,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1,-1.0,-1.8369701987210297e-16,50271.0,12.24
2025-11-02 20:00:00+01:00,0.39435585511331855,0.9189578116202306,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1,-0.9659258262890684,0.2588190451025203,47969.25,11.67
2025-11-02 21:00:00+01:00,0.39435585511331855,0.9189578116202306,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1,-0.8660254037844386,0.5000000000000001,45974.25,11.22
2025-11-02 22:00:00+01:00,0.39435585511331855,0.9189578116202306,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1,-0.7071067811865477,0.7071067811865474,46594.0,10.89
2025-11-02 23:00:00+01:00,0.39435585511331855,0.9189578116202306,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1,-0.5000000000000004,0.8660254037844384,46432.75,10.7
2025-11-03 00:00:00+01:00,0.39435585511331855,0.9189578116202306,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1,-0.25881904510252157,0.9659258262890681,44550.25,10.46
2025-11-03 01:00:00+01:00,0.5712682150947923,0.8207634412072763,-0.5000000000000004,0.8660254037844384,0.0,1.0,0,0.0,1.0,42730.25,10.47
2025-11-03 02:00:00+01:00,0.5712682150947923,0.8207634412072763,-0.5000000000000004,0.8660254037844384,0.0,1.0,0,0.25881904510252074,0.9659258262890683,41455.0,10.07
2025-11-03 03:00:00+01:00,0.5712682150947923,0.8207634412072763,-0.5000000000000004,0.8660254037844384,0.0,1.0,0,0.49999999999999994,0.8660254037844387,39909.0,9.8
2025-11-03 04:00:00+01:00,0.5712682150947923,0.8207634412072763,-0.5000000000000004,0.8660254037844384,0.0,1.0,0,0.7071067811865475,0.7071067811865476,39762.0,9.62
